Year,emissions
1959,2377
1960,2486
1961,2493
1962,2594
1963,2734
1964,2888
1965,3016
1966,3165
1967,3263
1968,3423
1969,3626
1970,3888
1971,4036
1972,4193
1973,4410
1974,4421
1975,4409
1976,4654
1977,4813
1978,4865
1979,5152
1980,5106
1981,4965
1982,4926
1983,4910
1984,5100
1985,5258
1986,5423
1987,5562
1988,5761
1989,5898
1990,5924
1991,5993
1992,5934
1993,5921
1994,6017
1995,6141
1996,6284
1997,6377
1998,6366
1999,6347
2000,6491
2001,6646
2002,6692
2003,7082
2004,7433
2005,7698
2006,7947
2007,8085
2008,8284
2009,8225
2010,8630.00
2011,8894
2012,8996.811807
2013,9123.190122
2014,9169.915491
