,Total_Sales,Flats_Sales,Terraced_Sales,Semidetached_Sales,Detached_Sales,All_AveragePrice,Flats_AveragePrice,Terraced_AveragePrice,Semi detached_AveragePrice,Detached_AveragePrice
Jan-95,50497,7561,16309,15428,11198,55130,48751,42440,53606,91095
Feb-95,50856,7390,16425,15491,11550,54195,47049,41458,53526,88296
Mar-95,71357,10127,23084,21941,16205,54478,47430,42090,53202,88582
Apr-95,60336,8551,19079,18448,14258,55969,48374,42931,54175,90857
May-95,67860,9594,21550,20923,15793,55639,48080,42853,54330,89607
Jun-95,77005,10852,23818,23587,18748,56248,48904,42942,54011,90441
Jul-95,67889,9292,21033,21020,16544,57668,48965,44165,55398,93389
Aug-95,73320,9867,22572,22448,18433,57684,48914,43585,55309,93469
Sep-95,71529,9665,22835,21499,17530,56110,47552,42921,54093,91149
Oct-95,65088,8999,20519,19523,16047,55182,47304,41506,53347,90228
Nov-95,67945,9350,21586,20498,16511,54885,46743,41501,53267,89906
Dec-95,73525,9961,22400,22066,19098,56087,47581,42156,53596,90021
Jan-96,51471,7520,16759,15296,11896,54880,47706,41758,53465,91131
Feb-96,54475,7747,17735,16272,12721,54302,46586,41779,53339,87909
Mar-96,73169,9967,23678,22174,17350,54259,46767,41240,53026,88491
Apr-96,68252,9419,21537,20699,16597,56513,48644,42787,54572,92224
May-96,83595,11294,25677,25646,20978,57090,49500,43408,54640,90960
Jun-96,79978,10984,23909,24163,20922,58400,50583,43962,55272,92836
Jul-96,90201,12167,27568,27166,23300,59733,51770,45381,56520,95026
Aug-96,96488,12815,28724,29113,25836,60832,51998,45803,56994,97018
Sep-96,84843,11752,25908,25050,22133,59904,53262,44998,56341,95536
Oct-96,91547,12961,27763,27429,23394,59097,51008,44361,56205,95579
Nov-96,99251,14015,30160,29763,25313,59366,51516,45370,56018,94715
Dec-96,91737,13546,27396,26689,24106,60689,53299,46225,56919,95504
Jan-97,70750,11062,22252,20485,16951,59807,52843,45735,57102,97514
Feb-97,70384,11059,21531,20650,17144,59696,53351,45313,56766,96406
Mar-97,81414,12295,25623,23929,19567,59611,53884,45788,56543,95718
Apr-97,83628,12912,25887,24353,20476,61772,55127,47232,58628,99150
May-97,96923,14277,29159,28532,24955,62922,55635,47943,59366,99139
Jun-97,101011,15120,30244,29320,26326,63998,57385,48613,59608,101141
Jul-97,108808,16526,32965,31544,27773,65330,57717,49751,61742,103612
Aug-97,104745,15809,31279,30472,27185,65310,57163,49286,61472,104421
Sep-97,94995,15076,28940,27219,23760,64966,58920,49278,61070,103887
Oct-97,101821,15973,31042,29564,25242,63852,57098,48660,60309,102344
Nov-97,86611,13712,26727,25027,21145,63974,57642,48910,60535,102598
Dec-97,92933,14625,28446,26448,23414,64985,59210,49260,61102,103388
Jan-98,64730,10895,20726,18399,14710,64693,59576,49831,61601,105607
Feb-98,66497,10999,21234,18797,15467,63656,58357,48725,60571,103820
Mar-98,81670,12970,26052,23388,19260,64672,60304,49437,60974,104717
Apr-98,84519,13248,26271,24364,20636,67107,61550,51323,63012,107500
May-98,91728,14405,28095,26753,22475,67521,62177,51428,63314,108008
Jun-98,97105,15304,29284,27688,24829,68695,63569,51990,63859,108582
Jul-98,109611,16872,33688,31693,27357,69481,63020,52868,65193,111220
Aug-98,94242,14781,28288,27321,23852,70379,64200,52900,65425,113637
Sep-98,90208,14949,27050,25856,22353,69698,64278,52648,64963,112079
Oct-98,93760,14996,28556,27176,23032,67626,62847,51073,63312,108588
Nov-98,86683,13887,26543,25276,20977,67576,62925,50993,63425,109195
Dec-98,89072,14391,27074,25441,22166,68617,64289,51645,64146,109424
Jan-99,63530,10604,20266,18234,14426,68287,64546,52063,64896,111119
Feb-99,65911,10901,20724,18808,15478,68201,65283,51335,64579,109942
Mar-99,88825,14338,28052,25225,21209,69815,66798,52827,65408,112400
